indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2013-05-01,Buenos Aires,3 estrellas/boutiques/aparts,1520,""
2013-05-01,Buenos Aires,4 y 5 estrellas,1262,""
2013-05-01,Buenos Aires,Para Hoteles,1406,""
2013-05-01,CABA,1 y 2 estrellas,910,""
2013-05-01,CABA,3 estrellas/boutiques/aparts,3517,""
2013-05-01,CABA,4 y 5 estrellas,8071,""
2013-05-01,CABA,Para Hoteles,1459,""
2013-05-01,Cuyo,1 y 2 estrellas,959,""
2013-05-01,Cuyo,3 estrellas/boutiques/aparts,1875,""
2013-05-01,Cuyo,4 y 5 estrellas,2446,""
2013-05-01,Cuyo,Para Hoteles,706,""
2013-05-01,Córdoba,1 y 2 estrellas,1019,""
2013-05-01,Córdoba,3 estrellas/boutiques/aparts,1206,""
2013-05-01,Córdoba,4 y 5 estrellas,861,""
2013-05-01,Córdoba,Para Hoteles,1478,""
2013-05-01,Litoral,1 y 2 estrellas,854,""
2013-05-01,Litoral,3 estrellas/boutiques/aparts,1742,""
2013-05-01,Litoral,4 y 5 estrellas,3565,""
2013-05-01,Litoral,Para Hoteles,1136,""
2013-05-01,Norte,1 y 2 estrellas,869,""
2013-05-01,Norte,3 estrellas/boutiques/aparts,1844,""
2013-05-01,Norte,4 y 5 estrellas,1866,""
